"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"KEGG_RIBOSOME","KEGG_RIBOSOME",85,-0.56567868779432,-4.08942995994631,2.34319779407269e-21,2.95242922053158e-19,1.80056251544533e-19,3333,"tags=73%, list=20%, signal=58%","11224/6222/6122/28998/6193/6181/6167/6139/6202/6188/6134/6218/7311/51065/6160/6191/6209/2197/9349/6132/6206/6217/6235/6124/6233/6129/6165/6176/6157/51187/6171/6125/6135/6136/6161/6231/6201/9045/6229/4736/6204/6147/6194/6170/6207/6232/6234/6227/6223/6230/6205/6143/6141/6152/6137/6228/6169/6158/6189/6156/6130/6128"
"KEGG_OXIDATIVE_PHOSPHORYLATION","KEGG_OXIDATIVE_PHOSPHORYLATION",114,-0.441604282724353,-3.44934490018344,4.73664654454087e-15,2.98408732306075e-13,1.81986946184991e-13,4205,"tags=64%, list=26%, signal=48%","7381/521/4713/51606/7388/4696/4726/1349/4702/4718/523/4720/1353/517/7385/4537/529/245973/5464/4519/4722/4700/4706/10632/23545/6391/27089/4695/528/4716/4714/10063/4508/126328/51382/29796/4729/4704/1340/7386/9167/4719/522/4731/4698/27068/4536/4509/1329/10476/4705/10975/4540/1345/4711/1347/526/4697/514/4512/6390/539/1350/4541/1337/9550/509/8992/4538/515/4535/1327/4539"
"KEGG_PARKINSONS_DISEASE","KEGG_PARKINSONS_DISEASE",109,-0.434952959817592,-3.35774310790843,2.99836543138781e-14,1.25931348118288e-12,7.6800237365372e-13,3816,"tags=61%, list=23%, signal=47%","7388/4696/4726/317/1349/4702/4718/7317/4720/7419/517/7385/4537/5481/4519/4722/4700/4706/6391/27089/4695/4716/4714/4508/836/29796/9246/118424/4729/4704/1340/7386/9167/4719/522/4731/4698/4536/4509/1329/7327/10476/4705/10975/7318/4540/1345/4711/7314/11315/1347/4697/514/4512/6390/539/1350/4541/1337/509/51465/4538/515/4535/1327/4539"
"KEGG_SPLICEOSOME","KEGG_SPLICEOSOME",126,-0.398580067547881,-3.18360618743502,3.28255923804054e-13,1.03400615998277e-11,6.30596906255157e-12,4695,"tags=62%, list=29%, signal=45%","6634/26121/22827/8449/51690/4809/27258/55110/153527/3312/25949/23350/84950/9984/3310/4116/9410/6631/10907/8683/9092/57461/56259/51691/10569/10189/84844/11157/6632/1659/10084/9785/5356/6633/6629/9128/8896/7307/51639/6430/10915/10713/22916/22985/11017/10772/151903/10291/51503/6628/6635/56949/51362/8559/23450/10946/9939/6625/51340/10992/51729/3190/4686/24148/6434/6427/55696/9343/29896/3178/27316/6431/10594/3183/23020/5093/6426/6428"
"KEGG_ALZHEIMERS_DISEASE","KEGG_ALZHEIMERS_DISEASE",139,-0.306730518565951,-2.49006894566875,7.47531256880061e-08,1.88377876733775e-06,1.14883751057357e-06,3816,"tags=47%, list=23%, signal=36%","7388/4696/3416/4726/317/1349/4702/4718/4720/637/23621/517/7385/5533/23385/4519/4722/4700/9451/4706/841/6391/27089/4695/351/4716/4714/4508/836/29796/4729/4704/1340/7386/9167/4719/522/4731/4698/2932/4509/1329/10476/4705/10975/5532/1345/4711/801/5594/1347/4697/514/4512/6390/539/1350/1337/7132/488/509/824/515/1327/805"
"KEGG_HUNTINGTONS_DISEASE","KEGG_HUNTINGTONS_DISEASE",155,-0.289018168349712,-2.40319348223099,4.41578008949772e-07,9.27313818794522e-06,5.65529730760235e-06,4205,"tags=48%, list=26%, signal=36%","7381/1639/4713/5435/4899/7388/4696/4726/317/1349/4702/4718/1173/4720/1385/5440/581/3065/7419/55081/517/7385/5481/25981/4519/4722/4700/1211/64764/4706/841/3092/6391/5431/6874/27089/4695/4716/4714/4508/836/29796/3064/4729/4704/1340/7386/9167/4719/522/4731/4698/4509/1329/10476/10540/4705/10975/1345/4711/6667/1347/4697/5430/514/4512/6390/539/1350/1337/163/509/515/1327/6648"
"KEGG_PROTEASOME","KEGG_PROTEASOME",41,-0.461746702555922,-2.70615934669325,1.01161020723292e-06,1.82089837301925e-05,1.1104894004211e-05,2936,"tags=59%, list=18%, signal=48%","5713/5702/5694/5720/5705/5721/5689/5684/5704/5700/5717/5685/5690/5686/5692/5707/5719/5701/5695/5682/5687/9861/5708/5691"
"KEGG_ENDOCYTOSIS","KEGG_ENDOCYTOSIS",153,-0.267155538559327,-2.21558747587573,8.89377290853436e-06,0.000140076923309416,8.54270292530275e-05,4674,"tags=48%, list=28%, signal=35%","56904/2870/3579/868/23096/116986/8218/6714/7852/3312/8395/23327/3480/55048/30844/51028/1601/64744/1173/9744/4734/51100/27243/9815/3310/89853/64145/6455/5867/84440/137492/4193/7189/27183/998/57132/25978/1211/8394/409/11311/79720/116984/10617/10193/29082/1436/8027/51652/7251/84364/3949/7037/26286/867/57403/51534/5869/23550/10059/3134/3106/8766/80223/3105/163/382/3107/128866/30011/116985/9922/11031/3133"
"KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS","KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS",124,-0.284274954515659,-2.26330049753107,1.00649056595293e-05,0.00014090867923341,8.59342822392557e-05,5752,"tags=55%, list=35%, signal=36%","9039/7332/7324/9820/57154/8945/140739/9040/9616/672/26259/4591/7321/868/5371/6502/7320/23327/26091/10054/9690/51434/51343/51588/7317/4734/329/330/10277/63893/6921/8697/7325/9817/51529/64326/10393/4193/7189/7428/92912/25898/10055/89910/8881/10477/55585/9978/3093/9246/118424/23295/7319/51433/25847/8924/55958/6923/9063/7327/867/7318/7334/11060/6500/1642/51465/7323"
"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION","KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",59,-0.36874052367134,-2.42252001287161,1.31580408295387e-05,0.000165791314452188,0.000101109155848035,3265,"tags=51%, list=20%, signal=41%","1385/3113/3310/3127/920/5720/3123/4802/3326/5721/1520/10437/567/3109/6891/5993/4800/6890/3134/811/3122/3115/3106/821/3105/2923/3107/3320/1508/3133"
